id,title,poster,content,add_date
1001,再发现一例居家确诊病人 问责区委书记区长,http://i2.chinanews.com/simg/cmshd/2020/02/19/dec2dde6e67b4e96a547a2e322a399e0.jpg,会议一开始，播放了一段来自媒体的暗访视频。视频显示，武汉部分小区没有按照规定要求管住管严；一些市民防疫意识还比较淡漠……”我们在小区封闭管理、控制人员流动上做了些工作，实际上落实得并不好。”王忠林说，群众发动不起来，打一场人民战争是不可能的。各区要在发动群众上持续加力，让居民参与到社区防控工作之中，只有居民都参与进来了，才能真正把小区当成自己的家园。他要求，要加强宣传引导，让市民对疫情严峻形势有充分警觉，认识到不执行封闭管理的危害，千万不能不当回事。对于不听劝阻不服从管理的，要依法严格处理，加大曝光力度，“这不是个人行为，而是危及到大家共同的安全。”,2/19/2020
1002,三家快递全网停工，大面积欠薪！,http://p3.pstatp.com/large/pgc-image/f4b21c6392204f0db3c237ce765533bf,近些年，随着互联网的脚步电商行业发展的很是猛烈，在此同时，人们对于快递行业也有了很大的需求量，快递行业也为此发展迅速。不过在2019年中，快递行业开始了大洗牌，似乎在一一验证当年刘强东所谓的“最后只剩下顺丰和京东物流”的预言，有不少的快递品牌都接近倒台的边缘。比如说下面的几个快递品牌。,2/21/2020
1003,广东加强水质监控 确保对澳门供水安全,http://i2.chinanews.com/simg/ypt/2020/200218/113556390_zsite.jpg,中新网广州2月18日电 (王坚 粤水宣)据广东省水利厅18日消息，新冠肺炎疫情发生后，广东省珠海市水务局和水控集团从供水源头到末梢落实严密防控措施，构筑供水安全网，全力确保对澳门供水安全。据珠海水务局负责人介绍，为做好新冠肺炎疫情防控工作，确保对澳门供水安全，珠海制定了《关于加强供水水质安全的工作指引》，发出《关于加强原水水质监测工作的通知》，从供水源头到水龙头，在原水抽取、制水处理、管网输配、小区供水的每一个关键点都提出了明确要求，采取细致措施。此外，对竹银水库、竹洲头泵站、平岗泵站、竹仙洞水库等主要供水水源点，专门配备检测原水余氯和微生物的设备，增加余氯、微生物等检测指标，加密监测频次，检测人员都接受了专项培训。珠海市水控集团相关负责人表示，疫情期间，该集团加强了供水管理人员及环境卫生管理。有湖北地区居住史、旅游史、接触史及其他有健康风险的工作人员，在未完成健康隔离观察或取得相关健康证明前，不得进入水库、泵站、水厂等供水场所。各水库、泵站、水厂、营业厅安排专人，对供水管理人员进行体温检测并登记造册，员工在确保身体健康后方可继续从事供水管理工作。,2/18/2020
1004,大数据告诉你：拼多多用户最爱买什么？建议收藏,http://p1.pstatp.com/large/dfic-imagehandler/840770ee-f924-42e0-ba90-f25d9f7e8641,拼多多主打爆款思维和导购模式，在平台上，有很多个流量入口。穿透的电商网站，用户具备明确的购物目的和信赖店铺，直接采用搜索商品或者店铺的方法，实现自己的目的。但是拼多多上，用户主要依赖浏览式和引导式购物，有一大部分的客户习惯从首页的“便宜”“折扣”性质的引导词，点进去购物区，实行产品的浏览和购买。因此，拼多多的商家也是需要买流量的，而一旦进入“折扣”区，就意味着你的产品只能冲量来赚钱，这个数据商家自己把握准确，赚到钱其实也不成问题。拼多多用户的购物行为中，41.3%的用户的目标是拼多多上价格比淘宝/京东更便宜的商品。也有约41%的用户因为便宜而囤货，过早地释放了长期性购物需求。约25%的人是被拼多多创造出了新的购物需求。他们在拼多多购买的商品类型是原来根本没见过或者没用过的东西。所以，如果你的产品是新的产品、需求不旺盛的产品，在拼多多上进行推广，也是有可能或的前期的巨大势能的，这对于产品的推广和普及来说很实用。,12/24/2019
1005,挑战一个月只吃狗粮！狗粮公司CEO身体变化惊呆众人,http://i2.chinanews.com/simg/cmshd/2020/02/17/9d388f162abd4603a0482330f0605153.jpg,中新网2月17日电 据外媒报道，尽管宠物猫、宠物狗的粮食人类也能吃，但由于调味的方式与人类习惯有差异，吃起来可能并不美味。然而，美国一家狗粮制造商的执行长米奇(Mitch Felderhoff)为了证明自家生产的狗粮很优质，决定挑战“连续一个月只吃狗粮”。结果一个月后，他身体出现的变化，让许多人都惊呆了。据悉，米奇是Muenster Milling的执行长，该公司专门生产狗粮。他为了证明自家生产的狗粮品质，从1月3日起挑战连续一个月都只吃狗粮，期间也在社交媒体上传视频，分享挑战过程中的心得与想法。他坦言，其实刚开始吃的时候相当痛苦，吃起来感觉也不好，“吃下去就跟闻起来一样”。米奇透露，大约在20天开始，他就适应了吃狗粮，甚至觉得狗粮的味道也很棒，只是偶尔会想念人类食物的味道。至于有人质疑“你真的没有偷吃其他食物吗”，他强调在挑战的30天期间内，绝对没有偷吃任何其他食物，也呼吁其他人不要随意模仿他的行为。,2/17/2020
1006,“钻石公主”号乘客19日起下船 首日下船乘客约500人,http://i2.chinanews.com/simg/cmshd/2020/02/19/19b386dcf20746ef98e2d6769b30f5b3.jpg,中新网2月19日电 据日本共同社报道，“钻石公主”号邮轮上的滞留乘客计划从19日开始陆续下船，首日下船乘客约有500人。另一方面，韩国18日向东京羽田机场派遣了一架撤侨包机，目前，各国的撤侨工作已经开始启动。据日本厚生劳动省介绍，下船的相关工作会在当地时间19日上午开始，整个计划预计于21日结束。据厚劳省称，截至17日已采集了“钻石公主”号邮轮上全部乘客的病毒检测样本，如果检测结果呈阴性且无症状的乘客将被允许下船，乘客和船员若呈阳性则须住院。不过，根据进展情况，完成整个下船工作也可能较21日延后。据称，船员即使呈阴性也需要与签约的运航公司进行协调。,2/19/2020
1007,疫情形势向好？室外空气消毒没必要？卫健委回应,http://www.chinanews.com/cr/2020/0218/2337106057.jpg,2月发生的禽流感事件起因是什么？禽肉蛋奶的供应会不会受影响？受疫情影响，菜价和肉价有什么变化？18日，国务院联防联控机制就“菜篮子”稳产保供工作情况举行发布会，并回答公众关切。国家卫健委新闻发言人、宣传司副司长米锋：与高点相比，2月17日全国单日新增确诊病例首次降至2000例以内，湖北省以外单日新增确诊病例首次降至100例以内，全国单日新增死亡病例首次降至100例以内，实现了三个首次，疫情形势进一步出现向好变化。2月，四川南充、湖南邵阳发生两起高致病性禽流感。两个养殖场都是中小厂，周边没有异常，当地卫生健康部门检测，临床采样检测均为阴性，疫情起因野鸟传播可能性较大，祸从天降，毒从鸟来。目前疫情处置工作已经完成，共扑杀疫区家禽28214羽。目前禽流感无论是禽间还是人间发生率都是非常低的，大家没有必要“谈禽色变”，可以放心食用经检疫合格、合法上市的禽产品。,2/18/2020
1008,NASA公布夜光云“美照”：宛如来自宇宙边缘的明信片,http://i2.chinanews.com/simg/cmshd/2020/02/18/7c065850eb86432e9cf0ac384b2e8cf3.jpg,中新网2月18日电 据外媒报道，当地时间17日，美国国家宇航局(NASA)在社交媒体上发布了国际空间站拍摄到的夜光云(noctilucent clouds)照片，并在配文中称，它美得像“来自宇宙边缘的明信片”。据报道，夜光云，又被称为极地中气层云，是指深曙暮期间出现于地球高纬度地区高空的一种发光而透明的波状云，高度可达地球表面80千米，是地球大气层中位置最高的云。NASA称，这张照片是在距南太平洋269英里的国际空间站上拍摄的，并解释说，只有在太阳落到地球的地平线上并照亮云朵时，才能看到这种云。据悉，当这种云从太空中被看见时，就被称为夜耀云(night-shining clouds)；从地球上看见，就称为夜光云。夜光云一般呈无色或淡蓝色，偶尔也出现红色、绿色和蓝色等。,2/18/2020
1009,报告称节后企业平均支付月薪为6420元 送餐员等岗位吃香,http://i2.chinanews.com/simg/cmshd/2020/02/19/e5f50d7d7e974f179f6fd59040b7a77b.jpg,中新网客户端北京2月19日电(记者 吴涛)19日，58同城发布的报告显示，2020年春节后，企业支付平均月薪为6420元，同比增长5.79%，其中技术类、配送类相关岗位涨幅高于整体增长，保洁岗位薪资也上涨明显。报告对不同类型的岗位薪资进行了分析，技术类相关岗位涨幅明显，薪资整体涨幅高达22.44%，算法工程师、研发工程师的企业支付薪资同比增长高达30%-40%。,2/19/2020
1010,战“疫”一线：和死神赛跑的“老运动员”,http://i2.chinanews.com/simg/ypt/2020/200216/113390680_zsite.jpg,中新网南昌2月16日电 题：战“疫”一线：和死神赛跑的“老运动员”“就算没有这场战‘疫’，我这里依旧是全院最危险的地方，这里每天都会上演‘生死时速’，我的工作就是从‘死神’的手里抢人。”钱克俭说道。说起南昌大学第一附属医院重症医学科(ICU)科主任钱克俭，大家对他的第一印象都是话不多但沉稳可靠。钱克俭在临床工作37年，同时也是一名有着26年党龄的党员。每当出现紧急情况，他永远是属于冲在最前面那群人之一。自新冠肺炎疫情发生至今，他已坚守在医院隔离病房ICU长达24天。,2/16/2020
